Hz,dBFS(rms),THD(%),BUZZ(%)
1423.83,-88.15,0.00,0.00
1429.69,-87.45,0.00,0.00
1435.55,-86.96,0.00,0.00
1441.41,-86.61,0.00,0.00
1447.27,-86.27,0.00,0.00
1453.13,-85.87,0.00,0.00
1458.98,-85.75,0.00,0.00
1464.84,-85.61,0.00,0.00
1470.70,-85.46,0.00,0.00
1476.56,-85.26,0.00,0.00
1482.42,-85.32,0.00,0.00
1488.28,-85.42,0.00,0.00
1494.14,-85.40,0.00,0.00
1500.00,-85.36,0.00,0.00
1505.86,-85.49,0.00,0.00
1511.72,-85.65,0.00,0.00
1517.58,-85.71,0.00,0.00
1523.44,-85.78,0.00,0.00
1529.30,-85.88,0.00,0.00
1535.16,-85.94,0.00,0.00
1541.02,-85.98,0.00,0.00
1546.88,-85.92,0.00,0.00
1552.73,-85.86,0.00,0.00
1558.59,-85.72,0.00,0.00
1564.45,-85.63,0.00,0.00
1570.31,-85.40,0.00,0.00
1576.17,-85.34,0.00,0.00
1582.03,-85.16,0.00,0.00
1587.89,-84.84,0.00,0.00
1593.75,-84.56,0.00,0.00
1599.61,-84.26,0.00,0.00
1605.47,-84.08,0.00,0.00
1611.33,-83.86,0.00,0.00
1617.19,-83.55,0.00,0.00
1623.05,-83.43,0.00,0.00
1628.91,-83.32,0.00,0.00
1634.77,-83.06,0.00,0.00
1640.63,-82.84,0.00,0.00
1646.48,-82.75,0.00,0.00
1652.34,-82.74,0.00,0.00
1658.20,-82.70,0.00,0.00
1664.06,-82.64,0.00,0.00
1669.92,-82.70,0.00,0.00
1675.78,-82.75,0.00,0.00
1681.64,-82.81,0.00,0.00
1687.50,-82.90,0.00,0.00
1693.36,-82.90,0.00,0.00
1699.22,-83.10,0.00,0.00
1705.08,-83.18,0.00,0.00
1710.94,-83.19,0.00,0.00
1716.80,-83.33,0.00,0.00
1722.66,-83.48,0.00,0.00
1728.52,-83.54,0.00,0.00
1734.38,-83.52,0.00,0.00
1740.23,-83.55,0.00,0.00
1746.09,-83.77,0.00,0.00
1751.95,-83.76,0.00,0.00
1757.81,-83.74,0.00,0.00
1763.67,-83.82,0.00,0.00
1769.53,-83.87,0.00,0.00
1775.39,-83.82,0.00,0.00
1781.25,-83.68,0.00,0.00
1787.11,-83.64,0.00,0.00
1792.97,-83.54,0.00,0.00
1798.83,-83.33,0.00,0.00
1804.69,-83.06,0.00,0.00
1810.55,-82.81,0.00,0.00
1816.41,-82.63,0.00,0.00
1822.27,-82.43,0.00,0.00
1828.13,-82.15,0.00,0.00
1833.98,-81.95,0.00,0.00
1839.84,-81.81,0.00,0.00
1845.70,-81.55,0.00,0.00
1851.56,-81.36,0.00,0.00
1857.42,-81.23,0.00,0.00
1863.28,-81.11,0.00,0.00
1869.14,-80.96,0.00,0.00
1875.00,-80.77,0.00,0.00
1880.86,-80.68,0.00,0.00
1886.72,-80.57,0.00,0.00
1892.58,-80.39,0.00,0.00
1898.44,-80.13,0.00,0.00
1904.30,-80.08,0.00,0.00
1910.16,-80.14,0.00,0.00
1916.02,-80.03,0.00,0.00
1921.88,-79.91,0.00,0.00
1927.73,-79.79,0.00,0.00
1933.59,-79.65,0.00,0.00
1939.45,-79.47,0.00,0.00
1945.31,-79.30,0.00,0.00
1951.17,-79.16,0.00,0.00
1957.03,-79.04,0.00,0.00
1962.89,-78.90,0.00,0.00
1968.75,-78.76,0.00,0.00
1974.61,-78.67,0.00,0.00
1980.47,-78.59,0.00,0.00
1986.33,-78.53,0.00,0.00
1992.19,-78.42,0.00,0.00
1998.05,-78.42,0.00,0.00
2003.91,-78.47,0.00,0.00
2009.77,-78.52,0.00,0.00
2015.63,-78.57,0.00,0.00
2021.48,-78.65,0.00,0.00
2027.34,-78.78,0.00,0.00
2033.20,-78.88,0.00,0.00
2039.06,-79.01,0.00,0.00
2044.92,-79.12,0.00,0.00
2050.78,-79.27,0.00,0.00
2056.64,-79.39,0.00,0.00
2062.50,-79.45,0.00,0.00
2068.36,-79.54,0.00,0.00
2074.22,-79.62,0.00,0.00
2080.08,-79.64,0.00,0.00
2085.94,-79.66,0.00,0.00
2091.80,-79.59,0.00,0.00
2097.66,-79.48,0.00,0.00
2103.52,-79.38,0.00,0.00
2109.38,-79.25,0.00,0.00
2115.23,-79.14,0.00,0.00
2121.09,-79.04,0.00,0.00
2126.95,-78.84,0.00,0.00
2132.81,-78.64,0.00,0.00
2138.67,-78.50,0.00,0.00
2144.53,-78.35,0.00,0.00
2150.39,-78.18,0.00,0.00
2156.25,-77.97,0.00,0.00
2162.11,-77.81,0.00,0.00
2167.97,-77.69,0.00,0.00
