Hz,dBFS(rms),THD(%),BUZZ(%)
1646.48,-50.80,0.00,0.00
1652.34,-50.80,0.00,0.00
1658.20,-50.75,0.00,0.00
1664.06,-50.75,0.00,0.00
1669.92,-50.73,0.00,0.00
1675.78,-50.57,0.00,0.00
1681.64,-50.42,0.00,0.00
1687.50,-50.29,0.75,0.01
1693.36,-50.16,0.00,0.00
1699.22,-50.04,0.00,0.00
1705.08,-49.90,0.00,0.00
1710.94,-49.78,0.00,0.00
1716.80,-49.74,0.00,0.00
1722.66,-49.75,0.00,0.00
1728.52,-49.76,0.00,0.00
1734.38,-49.77,0.72,0.01
1740.23,-49.88,0.70,0.01
1746.09,-50.08,0.00,0.00
1751.95,-50.30,0.00,0.00
1757.81,-50.53,0.00,0.00
1763.67,-50.73,0.00,0.00
1769.53,-50.87,0.00,0.00
1775.39,-50.91,0.00,0.00
1781.25,-50.81,0.00,0.00
1787.11,-50.65,0.00,0.00
1792.97,-50.55,0.00,0.00
1798.83,-50.43,0.00,0.00
1804.69,-50.36,0.74,0.01
1810.55,-50.35,0.71,0.01
1816.41,-50.45,0.69,0.01
1822.27,-50.71,0.65,0.02
1828.13,-51.11,0.64,0.02
1833.98,-51.52,0.00,0.00
1839.84,-51.96,0.00,0.00
1845.70,-52.39,0.00,0.00
1851.56,-52.78,0.00,0.00
1857.42,-53.11,0.00,0.00
1863.28,-53.38,0.00,0.00
1869.14,-53.69,0.00,0.00
1875.00,-54.08,0.57,0.02
1880.86,-54.51,0.58,0.03
1886.72,-55.01,0.59,0.03
1892.58,-55.58,0.00,0.00
1898.44,-56.28,0.00,0.00
1904.30,-57.01,0.00,0.00
1910.16,-57.63,0.00,0.00
1916.02,-58.12,0.00,0.00
1921.88,-58.41,0.00,0.00
1927.73,-58.47,0.00,0.00
1933.59,-58.32,0.00,0.00
1939.45,-58.02,0.00,0.00
1945.31,-57.75,0.00,0.00
1951.17,-57.58,0.00,0.00
1957.03,-57.57,0.51,0.12
1962.89,-57.65,0.00,0.00
1968.75,-57.81,0.00,0.00
1974.61,-58.09,0.00,0.00
1980.47,-58.53,0.00,0.00
1986.33,-59.13,0.00,0.00
1992.19,-59.84,0.00,0.00
