Hz,dBFS(rms),THD(%),BUZZ(%)
1775.39,-102.57,0.00,0.00
1781.25,-101.42,0.00,0.00
1787.11,-100.56,0.00,0.00
1792.97,-103.50,0.00,0.00
1798.83,-104.22,0.00,0.00
1804.69,-105.04,0.00,0.00
1810.55,-104.54,0.00,0.00
1816.41,-102.81,0.00,0.00
1822.27,-106.40,0.00,0.00
1828.13,-108.93,0.00,0.00
1833.98,-109.10,0.00,0.00
1839.84,-110.28,0.00,0.00
1845.70,-103.73,0.00,0.00
1851.56,-98.78,0.00,0.00
1857.42,-103.30,0.00,0.00
1863.28,-106.29,0.00,0.00
1869.14,-104.64,0.00,0.00
1875.00,-102.59,0.00,0.00
1880.86,-103.80,0.00,0.00
1886.72,-109.09,0.00,0.00
1892.58,-108.77,0.00,0.00
1898.44,-107.74,0.00,0.00
1904.30,-107.92,0.00,0.00
1910.16,-108.28,0.00,0.00
1916.02,-106.93,0.00,0.00
1921.88,-107.23,0.00,0.00
1927.73,-109.34,0.00,0.00
1933.59,-108.72,0.00,0.00
1939.45,-106.06,0.00,0.00
1945.31,-106.71,0.00,0.00
1951.17,-106.11,0.00,0.00
1957.03,-105.66,0.00,0.00
1962.89,-107.32,0.00,0.00
1968.75,-107.86,0.00,0.00
1974.61,-106.89,0.00,0.00
1980.47,-107.19,0.00,0.00
1986.33,-107.61,0.00,0.00
1992.19,-107.26,0.00,0.00
1998.05,-107.20,0.00,0.00
2003.91,-106.21,0.00,0.00
2009.77,-106.78,0.00,0.00
2015.63,-106.54,0.00,0.00
2021.48,-105.78,0.00,0.00
2027.34,-105.89,0.00,0.00
2033.20,-105.54,0.00,0.00
2039.06,-105.16,0.00,0.00
2044.92,-105.68,0.00,0.00
2050.78,-104.11,0.00,0.00
2056.64,-102.60,0.00,0.00
2062.50,-101.25,0.00,0.00
2068.36,-100.91,0.00,0.00
2074.22,-104.74,0.00,0.00
2080.08,-104.41,0.00,0.00
2085.94,-104.14,0.00,0.00
2091.80,-104.00,0.00,0.00
2097.66,-104.58,0.00,0.00
2103.52,-104.16,0.00,0.00
2109.38,-104.53,0.00,0.00
2115.23,-106.61,0.00,0.00
2121.09,-107.95,0.00,0.00
2126.95,-108.02,0.00,0.00
2132.81,-108.01,0.00,0.00
2138.67,-107.83,0.00,0.00
2144.53,-107.33,0.00,0.00
2150.39,-106.86,0.00,0.00
2156.25,-107.91,0.00,0.00
2162.11,-108.44,0.00,0.00
2167.97,-108.54,0.00,0.00
2173.83,-108.32,0.00,0.00
2179.69,-107.44,0.00,0.00
2185.55,-107.55,0.00,0.00
2191.41,-106.66,0.00,0.00
2197.27,-106.85,0.00,0.00
2203.13,-107.65,0.00,0.00
2208.98,-107.40,0.00,0.00
2214.84,-107.64,0.00,0.00
2220.70,-107.74,0.00,0.00
2226.56,-107.38,0.00,0.00
2232.42,-107.77,0.00,0.00
2238.28,-108.53,0.00,0.00
2244.14,-109.21,0.00,0.00
2250.00,-106.36,0.00,0.00
2255.86,-105.25,0.00,0.00
2261.72,-108.20,0.00,0.00
2267.58,-109.21,0.00,0.00
2273.44,-107.41,0.00,0.00
2279.30,-108.40,0.00,0.00
2285.16,-109.75,0.00,0.00
2291.02,-109.84,0.00,0.00
2296.88,-108.54,0.00,0.00
2302.73,-108.77,0.00,0.00
2308.59,-109.46,0.00,0.00
2314.45,-109.07,0.00,0.00
2320.31,-108.49,0.00,0.00
2326.17,-109.30,0.00,0.00
2332.03,-109.80,0.00,0.00
2337.89,-109.21,0.00,0.00
2343.75,-108.31,0.00,0.00
2349.61,-109.04,0.00,0.00
2355.47,-109.75,0.00,0.00
2361.33,-109.75,0.00,0.00
2367.19,-109.15,0.00,0.00
2373.05,-109.30,0.00,0.00
2378.91,-109.55,0.00,0.00
2384.77,-110.09,0.00,0.00
2390.63,-109.44,0.00,0.00
2396.48,-109.23,0.00,0.00
2402.34,-110.34,0.00,0.00
2408.20,-111.06,0.00,0.00
2414.06,-110.67,0.00,0.00
2419.92,-110.56,0.00,0.00
2425.78,-111.91,0.00,0.00
2431.64,-111.90,0.00,0.00
2437.50,-109.00,0.00,0.00
