Hz,dBFS(rms),THD(%),BUZZ(%)
4464.84,-57.39,0.22,0.02
4470.70,-57.49,0.20,0.01
4476.56,-57.62,0.20,0.03
4482.42,-57.77,0.20,0.03
4488.28,-57.96,0.18,0.03
4494.14,-58.18,0.17,0.03
4500.00,-58.47,0.16,0.03
4505.86,-58.80,0.21,0.01
4511.72,-59.18,0.17,0.04
4517.58,-59.60,0.00,0.00
4523.44,-60.06,0.00,0.00
4529.30,-60.56,0.00,0.00
4535.16,-61.06,0.00,0.00
4541.02,-61.60,0.00,0.00
4546.88,-62.13,0.00,0.00
4552.73,-62.64,0.00,0.00
4558.59,-63.13,0.00,0.00
4564.45,-63.55,0.00,0.00
4570.31,-63.90,0.00,0.00
4576.17,-64.12,0.00,0.00
