Hz,dBFS(rms),THD(%),BUZZ(%)
1152.34,-45.42,0.00,0.00
1156.25,-45.68,0.00,0.00
1160.16,-45.94,0.00,0.00
1164.06,-46.21,0.00,0.00
1167.97,-46.50,0.00,0.00
1171.88,-46.80,0.00,0.00
1175.78,-47.12,0.00,0.00
1179.69,-47.46,0.00,0.00
1183.59,-47.82,0.00,0.00
1187.50,-48.21,0.00,0.00
1191.41,-48.65,0.00,0.00
1195.31,-49.11,0.00,0.00
1199.22,-49.62,0.00,0.00
1203.13,-50.18,0.00,0.00
1207.03,-50.77,0.00,0.00
1210.94,-51.40,0.00,0.00
1214.84,-52.06,0.00,0.00
1218.75,-52.72,0.00,0.00
1222.66,-53.37,0.00,0.00
1226.56,-53.97,0.00,0.00
1230.47,-54.47,0.00,0.00
1234.38,-54.84,0.00,0.00
1238.28,-55.04,0.00,0.00
1242.19,-55.07,0.00,0.00
1246.09,-54.94,0.00,0.00
1250.00,-54.70,0.00,0.00
1253.91,-54.38,0.00,0.00
1257.81,-54.01,0.00,0.00
1261.72,-53.62,0.00,0.00
1265.63,-53.21,0.00,0.00
1269.53,-52.82,0.00,0.00
1273.44,-52.43,0.00,0.00
1277.34,-52.04,0.00,0.00
1281.25,-51.67,0.00,0.00
1285.16,-51.31,0.00,0.00
1289.06,-50.97,0.00,0.00
1292.97,-50.63,0.00,0.00
1296.88,-50.30,0.00,0.00
1300.78,-49.98,0.00,0.00
1304.69,-49.68,0.00,0.00
1308.59,-49.40,0.00,0.00
1312.50,-49.13,0.00,0.00
1316.41,-48.86,0.00,0.00
1320.31,-48.61,0.00,0.00
1324.22,-48.35,0.00,0.00
1328.13,-48.11,0.00,0.00
1332.03,-47.86,0.00,0.00
1335.94,-47.61,0.00,0.00
1339.84,-47.36,0.00,0.00
1343.75,-47.10,0.00,0.00
1347.66,-46.83,0.00,0.00
1351.56,-46.55,0.00,0.00
1355.47,-46.26,0.00,0.00
1359.38,-45.95,0.00,0.00
1363.28,-45.64,0.00,0.00
1367.19,-45.32,0.00,0.00
1371.09,-45.00,0.00,0.00
1375.00,-44.67,0.00,0.00
1378.91,-44.34,0.00,0.00
1382.81,-44.02,0.00,0.00
1386.72,-43.70,0.00,0.00
1390.63,-43.39,0.00,0.00
1394.53,-43.09,0.00,0.00
1398.44,-42.81,0.00,0.00
1402.34,-42.54,0.00,0.00
1406.25,-42.28,0.00,0.00
1410.16,-42.05,0.00,0.00
1414.06,-41.85,0.00,0.00
1417.97,-41.67,0.00,0.00
1421.88,-41.52,0.00,0.00
1425.78,-41.40,0.00,0.00
1429.69,-41.31,0.00,0.00
1433.59,-41.25,0.00,0.00
1437.50,-41.23,0.00,0.00
1441.41,-41.24,0.00,0.00
1445.31,-41.27,0.00,0.00
1449.22,-41.34,0.00,0.00
1453.13,-41.43,0.00,0.00
1457.03,-41.55,0.00,0.00
1460.94,-41.69,0.00,0.00
1464.84,-41.85,0.00,0.00
1468.75,-42.03,0.00,0.00
1472.66,-42.22,0.00,0.00
1476.56,-42.41,0.00,0.00
1480.47,-42.62,0.00,0.00
1484.38,-42.82,0.00,0.00
1488.28,-43.03,0.00,0.00
1492.19,-43.23,0.00,0.00
1496.09,-43.42,0.00,0.00
1500.00,-43.61,0.00,0.00
1503.91,-43.77,0.00,0.00
1507.81,-43.93,0.00,0.00
1511.72,-44.07,0.00,0.00
1515.63,-44.18,0.00,0.00
1519.53,-44.29,0.00,0.00
1523.44,-44.36,0.00,0.00
1527.34,-44.42,0.00,0.00
1531.25,-44.45,0.00,0.00
1535.16,-44.47,0.00,0.00
1539.06,-44.46,0.00,0.00
1542.97,-44.44,0.00,0.00
1546.88,-44.39,0.00,0.00
1550.78,-44.33,0.00,0.00
1554.69,-44.26,0.00,0.00
1558.59,-44.16,0.00,0.00
1562.50,-44.06,0.00,0.00
1566.41,-43.94,0.00,0.00
1570.31,-43.82,0.00,0.00
1574.22,-43.69,0.00,0.00
1578.13,-43.54,0.00,0.00
1582.03,-43.39,0.00,0.00
1585.94,-43.24,0.00,0.00
1589.84,-43.07,0.00,0.00
1593.75,-42.91,0.00,0.00
1597.66,-42.74,0.00,0.00
1601.56,-42.57,0.00,0.00
1605.47,-42.40,0.00,0.00
1609.38,-42.22,0.00,0.00
1613.28,-42.04,0.00,0.00
1617.19,-41.87,0.00,0.00
1621.09,-41.69,0.00,0.00
1625.00,-41.51,0.00,0.00
1628.91,-41.34,0.00,0.00
1632.81,-41.17,0.00,0.00
1636.72,-41.00,0.00,0.00
1640.63,-40.83,0.00,0.00
1644.53,-40.68,0.00,0.00
1648.44,-40.53,0.00,0.00
1652.34,-40.39,0.00,0.00
1656.25,-40.25,0.00,0.00
1660.16,-40.13,0.00,0.00
1664.06,-40.01,0.00,0.00
1667.97,-39.90,0.00,0.00
1671.88,-39.80,0.00,0.00
1675.78,-39.72,0.00,0.00
1679.69,-39.65,0.00,0.00
1683.59,-39.59,0.00,0.00
1687.50,-39.55,0.00,0.00
1691.41,-39.51,0.00,0.00
1695.31,-39.50,0.00,0.00
1699.22,-39.50,0.00,0.00
1703.13,-39.52,0.00,0.00
1707.03,-39.55,0.00,0.00
1710.94,-39.58,0.00,0.00
1714.84,-39.63,0.00,0.00
1718.75,-39.68,0.00,0.00
1722.66,-39.73,0.00,0.00
1726.56,-39.81,0.00,0.00
1730.47,-39.91,0.00,0.00
1734.38,-40.01,0.00,0.00
1738.28,-40.11,0.00,0.00
1742.19,-40.20,0.00,0.00
1746.09,-40.31,0.00,0.00
1750.00,-40.41,0.00,0.00
1753.91,-40.52,0.00,0.00
1757.81,-40.63,0.00,0.00
1761.72,-40.72,0.00,0.00
1765.63,-40.82,0.00,0.00
1769.53,-40.92,0.00,0.00
1773.44,-41.01,0.00,0.00
1777.34,-41.09,0.00,0.00
1781.25,-41.16,0.00,0.00
1785.16,-41.22,0.00,0.00
1789.06,-41.27,0.00,0.00
1792.97,-41.31,0.00,0.00
1796.88,-41.34,0.00,0.00
1800.78,-41.37,0.00,0.00
1804.69,-41.37,0.00,0.00
1808.59,-41.36,0.00,0.00
1812.50,-41.34,0.00,0.00
1816.41,-41.32,0.00,0.00
1820.31,-41.28,0.00,0.00
1824.22,-41.24,0.00,0.00
1828.13,-41.20,0.00,0.00
1832.03,-41.15,0.00,0.00
1835.94,-41.10,0.00,0.00
1839.84,-41.05,0.00,0.00
1843.75,-41.00,0.00,0.00
1847.66,-40.95,0.00,0.00
1851.56,-40.90,0.00,0.00
1855.47,-40.85,0.00,0.00
1859.38,-40.81,0.00,0.00
1863.28,-40.77,0.00,0.00
1867.19,-40.73,0.00,0.00
1871.09,-40.70,0.00,0.00
1875.00,-40.67,0.00,0.00
1878.91,-40.66,0.00,0.00
1882.81,-40.64,0.00,0.00
1886.72,-40.64,0.00,0.00
1890.63,-40.65,0.00,0.00
1894.53,-40.66,0.00,0.00
1898.44,-40.69,0.00,0.00
1902.34,-40.72,0.00,0.00
1906.25,-40.76,0.00,0.00
1910.16,-40.80,0.00,0.00
1914.06,-40.85,0.00,0.00
1917.97,-40.91,0.00,0.00
1921.88,-40.97,0.00,0.00
1925.78,-41.04,0.00,0.00
1929.69,-41.11,0.00,0.00
1933.59,-41.18,0.00,0.00
1937.50,-41.26,0.00,0.00
1941.41,-41.34,0.00,0.00
1945.31,-41.42,0.00,0.00
1949.22,-41.50,0.00,0.00
1953.13,-41.59,0.00,0.00
1957.03,-41.67,0.00,0.00
1960.94,-41.75,0.00,0.00
1964.84,-41.83,0.00,0.00
1968.75,-41.91,0.00,0.00
1972.66,-41.99,0.00,0.00
1976.56,-42.06,0.00,0.00
1980.47,-42.14,0.00,0.00
1984.38,-42.21,0.00,0.00
1988.28,-42.28,0.00,0.00
1992.19,-42.35,0.00,0.00
1996.09,-42.42,0.00,0.00
2000.00,-42.48,0.00,0.00
2003.91,-42.54,0.00,0.00
2007.81,-42.59,0.00,0.00
2011.72,-42.63,0.00,0.00
2015.63,-42.67,0.00,0.00
2019.53,-42.70,0.00,0.00
2023.44,-42.73,0.00,0.00
2027.34,-42.74,0.00,0.00
2031.25,-42.74,0.00,0.00
2035.16,-42.73,0.00,0.00
