Hz,dBFS(rms),THD(%),BUZZ(%)
1646.48,-82.61,0.00,0.00
1652.34,-83.44,0.00,0.00
1658.20,-83.07,0.00,0.00
1664.06,-82.62,0.00,0.00
1669.92,-82.67,0.00,0.00
1675.78,-81.67,0.00,0.00
1681.64,-81.41,0.00,0.00
1687.50,-81.55,0.00,0.00
1693.36,-81.49,0.00,0.00
1699.22,-81.76,0.00,0.00
1705.08,-81.74,0.00,0.00
1710.94,-81.53,0.00,0.00
1716.80,-81.69,0.00,0.00
1722.66,-82.44,0.00,0.00
1728.52,-82.73,0.00,0.00
1734.38,-82.20,0.00,0.00
1740.23,-82.56,0.00,0.00
1746.09,-81.55,0.00,0.00
1751.95,-78.25,0.00,0.00
1757.81,-78.73,0.00,0.00
1763.67,-81.83,0.00,0.00
1769.53,-81.64,0.00,0.00
1775.39,-82.00,0.00,0.00
1781.25,-83.31,0.00,0.00
1787.11,-83.47,0.00,0.00
1792.97,-83.31,0.00,0.00
1798.83,-82.70,0.00,0.00
1804.69,-83.54,0.00,0.00
1810.55,-82.64,0.00,0.00
1816.41,-82.82,0.00,0.00
1822.27,-83.23,0.00,0.00
1828.13,-83.10,0.00,0.00
1833.98,-82.57,0.00,0.00
1839.84,-82.31,0.00,0.00
1845.70,-83.08,0.00,0.00
1851.56,-83.15,0.00,0.00
1857.42,-82.61,0.00,0.00
1863.28,-82.91,0.00,0.00
1869.14,-83.50,0.00,0.00
1875.00,-83.60,0.00,0.00
1880.86,-83.41,0.00,0.00
1886.72,-83.36,0.00,0.00
1892.58,-83.16,0.00,0.00
1898.44,-83.34,0.00,0.00
1904.30,-83.30,0.00,0.00
1910.16,-83.92,0.00,0.00
1916.02,-83.64,0.00,0.00
1921.88,-83.26,0.00,0.00
1927.73,-82.51,0.00,0.00
1933.59,-83.15,0.00,0.00
1939.45,-83.32,0.00,0.00
1945.31,-82.93,0.00,0.00
1951.17,-83.91,0.00,0.00
1957.03,-82.97,0.00,0.00
1962.89,-82.96,0.00,0.00
1968.75,-83.28,0.00,0.00
1974.61,-83.49,0.00,0.00
1980.47,-83.58,0.00,0.00
1986.33,-83.73,0.00,0.00
1992.19,-84.26,0.00,0.00
1998.05,-84.40,0.00,0.00
2003.91,-83.86,0.00,0.00
2009.77,-82.87,0.00,0.00
2015.63,-82.90,0.00,0.00
2021.48,-83.41,0.00,0.00
2027.34,-83.04,0.00,0.00
2033.20,-83.11,0.00,0.00
2039.06,-83.29,0.00,0.00
2044.92,-83.02,0.00,0.00
2050.78,-83.27,0.00,0.00
2056.64,-83.25,0.00,0.00
2062.50,-82.64,0.00,0.00
2068.36,-71.15,0.00,0.00
2074.22,-61.59,0.00,0.00
2080.08,-63.93,0.00,0.00
2085.94,-79.49,0.00,0.00
2091.80,-83.10,0.00,0.00
2097.66,-83.12,0.00,0.00
2103.52,-83.04,0.00,0.00
2109.38,-84.46,0.00,0.00
2115.23,-84.78,0.00,0.00
2121.09,-83.71,0.00,0.00
2126.95,-83.61,0.00,0.00
2132.81,-84.27,0.00,0.00
2138.67,-83.78,0.00,0.00
2144.53,-83.05,0.00,0.00
2150.39,-83.01,0.00,0.00
2156.25,-83.10,0.00,0.00
2162.11,-83.42,0.00,0.00
2167.97,-84.44,0.00,0.00
2173.83,-84.96,0.00,0.00
2179.69,-84.24,0.00,0.00
2185.55,-83.99,0.00,0.00
2191.41,-83.96,0.00,0.00
2197.27,-84.28,0.00,0.00
2203.13,-83.97,0.00,0.00
2208.98,-83.59,0.00,0.00
2214.84,-84.10,0.00,0.00
2220.70,-84.46,0.00,0.00
2226.56,-84.14,0.00,0.00
2232.42,-83.85,0.00,0.00
2238.28,-83.60,0.00,0.00
2244.14,-82.97,0.00,0.00
2250.00,-83.66,0.00,0.00
2255.86,-84.83,0.00,0.00
2261.72,-84.82,0.00,0.00
2267.58,-83.25,0.00,0.00
2273.44,-83.54,0.00,0.00
2279.30,-83.84,0.00,0.00
2285.16,-84.64,0.00,0.00
2291.02,-84.24,0.00,0.00
2296.88,-84.40,0.00,0.00
2302.73,-84.47,0.00,0.00
2308.59,-84.47,0.00,0.00
2314.45,-84.51,0.00,0.00
2320.31,-85.14,0.00,0.00
2326.17,-83.83,0.00,0.00
2332.03,-83.72,0.00,0.00
2337.89,-83.98,0.00,0.00
2343.75,-84.20,0.00,0.00
2349.61,-84.21,0.00,0.00
2355.47,-83.76,0.00,0.00
2361.33,-83.38,0.00,0.00
2367.19,-83.97,0.00,0.00
2373.05,-84.75,0.00,0.00
2378.91,-84.53,0.00,0.00
2384.77,-84.57,0.00,0.00
2390.63,-84.57,0.00,0.00
2396.48,-84.37,0.00,0.00
2402.34,-84.72,0.00,0.00
2408.20,-85.18,0.00,0.00
2414.06,-85.47,0.00,0.00
2419.92,-84.54,0.00,0.00
2425.78,-84.73,0.00,0.00
2431.64,-84.57,0.00,0.00
2437.50,-84.74,0.00,0.00
2443.36,-83.64,0.00,0.00
2449.22,-83.35,0.00,0.00
2455.08,-83.61,0.00,0.00
2460.94,-84.73,0.00,0.00
2466.80,-84.34,0.00,0.00
2472.66,-84.61,0.00,0.00
2478.52,-84.30,0.00,0.00
2484.38,-84.51,0.00,0.00
2490.23,-83.74,0.00,0.00
2496.09,-84.68,0.00,0.00
2501.95,-84.97,0.00,0.00
2507.81,-85.05,0.00,0.00
2513.67,-84.12,0.00,0.00
2519.53,-84.59,0.00,0.00
2525.39,-85.40,0.00,0.00
2531.25,-84.53,0.00,0.00
2537.11,-84.37,0.00,0.00
2542.97,-84.35,0.00,0.00
2548.83,-85.62,0.00,0.00
2554.69,-84.95,0.00,0.00
2560.55,-84.96,0.00,0.00
2566.41,-84.85,0.00,0.00
2572.27,-84.94,0.00,0.00
2578.13,-85.14,0.00,0.00
2583.98,-84.52,0.00,0.00
2589.84,-85.83,0.00,0.00
2595.70,-86.39,0.00,0.00
2601.56,-85.28,0.00,0.00
2607.42,-84.67,0.00,0.00
2613.28,-85.01,0.00,0.00
2619.14,-85.38,0.00,0.00
2625.00,-84.13,0.00,0.00
2630.86,-84.67,0.00,0.00
2636.72,-84.94,0.00,0.00
2642.58,-85.61,0.00,0.00
2648.44,-85.61,0.00,0.00
2654.30,-84.53,0.00,0.00
2660.16,-84.77,0.00,0.00
2666.02,-84.69,0.00,0.00
2671.88,-84.89,0.00,0.00
2677.73,-85.51,0.00,0.00
2683.59,-84.06,0.00,0.00
2689.45,-84.26,0.00,0.00
2695.31,-84.97,0.00,0.00
2701.17,-85.34,0.00,0.00
2707.03,-85.52,0.00,0.00
2712.89,-84.92,0.00,0.00
2718.75,-85.05,0.00,0.00
2724.61,-85.31,0.00,0.00
2730.47,-85.22,0.00,0.00
2736.33,-85.33,0.00,0.00
2742.19,-86.24,0.00,0.00
2748.05,-86.13,0.00,0.00
2753.91,-85.43,0.00,0.00
2759.77,-84.89,0.00,0.00
2765.63,-84.72,0.00,0.00
2771.48,-85.22,0.00,0.00
2777.34,-84.44,0.00,0.00
2783.20,-84.81,0.00,0.00
2789.06,-85.13,0.00,0.00
2794.92,-85.30,0.00,0.00
2800.78,-85.40,0.00,0.00
2806.64,-85.04,0.00,0.00
2812.50,-85.46,0.00,0.00
2818.36,-86.24,0.00,0.00
2824.22,-86.00,0.00,0.00
2830.08,-85.72,0.00,0.00
2835.94,-85.70,0.00,0.00
2841.80,-85.25,0.00,0.00
2847.66,-85.27,0.00,0.00
2853.52,-85.19,0.00,0.00
2859.38,-85.69,0.00,0.00
2865.23,-84.68,0.00,0.00
2871.09,-84.16,0.00,0.00
2876.95,-84.67,0.00,0.00
2882.81,-84.98,0.00,0.00
2888.67,-84.92,0.00,0.00
2894.53,-84.86,0.00,0.00
2900.39,-85.43,0.00,0.00
2906.25,-85.57,0.00,0.00
2912.11,-84.91,0.00,0.00
2917.97,-85.44,0.00,0.00
2923.83,-85.66,0.00,0.00
2929.69,-85.85,0.00,0.00
2935.55,-84.59,0.00,0.00
2941.41,-84.16,0.00,0.00
2947.27,-85.53,0.00,0.00
2953.13,-84.41,0.00,0.00
2958.98,-84.25,0.00,0.00
2964.84,-84.62,0.00,0.00
2970.70,-85.61,0.00,0.00
2976.56,-86.14,0.00,0.00
2982.42,-86.56,0.00,0.00
2988.28,-85.75,0.00,0.00
2994.14,-84.73,0.00,0.00
3000.00,-85.49,0.00,0.00
3005.86,-84.63,0.00,0.00
3011.72,-85.25,0.00,0.00
